player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
1427,bab78fa2,J Da Silva,male,BATTER,,,West Indies
1428,23f94c02,J Drysdale,male,ALL_ROUNDER,,,United States of America
1429,74487d79,J Edness,male,BATTER,,,Bermuda
1430,9f038761,J Figy John,male,BATTER,,,United Arab Emirates
1431,9b6e1b3f,J Fraser-McGurk,male,BATTER,,,Australia
1432,2bf69ff5,J Giyanani,male,ALL_ROUNDER,,,United Arab Emirates
1433,c8d74c21,J Gumbie,male,BATTER,,,Zimbabwe
1434,ab54f9e7,J Jarvis,male,ALL_ROUNDER,,,Scotland
1435,cde067e1,J Kariko,male,ALL_ROUNDER,,,Papua New Guinea
1436,d996ba33,J Kila,male,ALL_ROUNDER,,,Papua New Guinea
1437,6c75310b,J Lewis,male,ALL_ROUNDER,,,England
1438,9061a703,J Little,male,ALL_ROUNDER,,,Ireland
1439,84212ffb,J Liyanage,male,ALL_ROUNDER,,,Sri Lanka
1440,9c1ccdea,J Louw,male,ALL_ROUNDER,,,South Africa
1441,f0398c2f,J Matharu,male,ALL_ROUNDER,,,Canada
1442,a9520ac2,J Mubarak,male,ALL_ROUNDER,,,Sri Lanka
1443,6b64e7a3,J Mulder,male,BOWLER,,,Ireland
1444,8bb34d86,J Neill,male,BOWLER,,,Ireland
1445,024a173d,J Nyumbu,male,ALL_ROUNDER,,,Zimbabwe
1446,59559bc2,J Overton,male,ALL_ROUNDER,,,England
1447,a549066c,J Patraj,male,ALL_ROUNDER,,,Canada
1448,f7ce2ff9,J Ramanandi,male,ALL_ROUNDER,,,Oman
1449,7c681ee9,J Smits,male,BATTER,,,Netherlands
1450,bad31fac,J Srinath,male,ALL_ROUNDER,,,India
1451,0b581ed6,J Sumerauer,male,ALL_ROUNDER,,,Jersey
1452,dec8e038,J Theron,male,ALL_ROUNDER,,,United States of America
1453,81049310,J Yadav,male,ALL_ROUNDER,,,India
1454,7a5f232a,JA Burns,male,BATTER,,,Australia
1455,bed90114,JA Clarkson,male,ALL_ROUNDER,,,New Zealand
1456,dadbdb68,JA Duffy,male,ALL_ROUNDER,,,New Zealand
1457,c7105dab,JA McCollum,male,BATTER,,,Ireland
1458,c3d35165,JA Morkel,male,ALL_ROUNDER,,,South Africa
1459,1ee08e9a,JA Richardson,male,ALL_ROUNDER,,,Australia
1460,42537f07,JA Rudolph,male,BATTER,,,South Africa
1461,f05fe9b1,JA Simpson,male,BATTER,,,England
1462,cdd875d9,JA Turner,male,ALL_ROUNDER,,,England
1463,c810b349,JAD Lawrenson,male,BATTER,,,Jersey
1464,fdac5295,JAH Marshall,male,BATTER,,,New Zealand
1465,6752c57b,Jahurul Islam,male,BATTER,,,Bangladesh
1466,7ba54dc9,Jai Prakash Yadav,male,ALL_ROUNDER,,,India
1467,cd56a813,Jaker Ali,male,BATTER,,,Bangladesh
1468,4dcd505e,Jamaluddin Ahmed,male,ALL_ROUNDER,,,Bangladesh
1469,e662b18f,JAR Blain,male,ALL_ROUNDER,,,Scotland
1470,5ec41cd7,Jasdeep Singh,male,ALL_ROUNDER,,,United States of America
1471,d7b3a420,Jaskaran Singh,male,ALL_ROUNDER,,,Canada
1472,b80dd12c,Jatinder Singh,male,ALL_ROUNDER,,,Oman
1473,e15faa51,Javed Omar,male,BATTER,,,Bangladesh
1474,526e006d,Jay Odedra,male,ALL_ROUNDER,,,Oman
1475,6a685375,JB Reva,male,ALL_ROUNDER,,,Papua New Guinea
1476,5574750c,JC Archer,male,ALL_ROUNDER,,,England
