player_id,player_external_id,player_name,gender,team_name,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
34,af6c03bc,A Zimunu,female,Zimbabwe,14,11,104,143,23,2,8,0,0,0,11.56,72.73,14,481,10,477,5.95,47.7,2,0
35,4b0e3049,AA Alleyne,female,West Indies,54,45,571,851,44,10,66,2,0,0,16.31,67.1,48,1503,48,1400,5.59,29.17,4,0
36,cfa56623,AA Deshpande,female,India,1,1,32,68,32,0,4,1,0,0,32.0,47.06,0,0,0,0,0.0,0.0,0,0
37,9565fda6,AB Kaur,female,India,17,17,257,332,57,5,24,1,1,0,21.42,77.41,17,664,19,683,6.17,35.95,4,0
38,ac56b5a7,AC Jayangani,female,Sri Lanka,90,90,3300,4137,195,5,418,60,16,8,38.82,79.77,65,2252,54,1981,5.28,36.69,4,0
39,7673c908,AC Kerr,female,New Zealand,88,76,2402,3071,179,14,237,5,11,4,38.74,78.22,87,4430,118,3462,4.69,29.34,7,2
40,a5162ca9,AD Janakanthymala,female,Sri Lanka,2,2,1,15,1,1,0,0,0,0,1.0,6.67,2,66,2,47,4.27,23.5,1,0
41,b05e45e4,AE Jones,female,England,87,87,2623,3014,129,12,301,20,16,2,34.97,87.03,0,0,0,0,0.0,0.0,0,0
42,72b7ed1e,AE Satterthwaite,female,New Zealand,69,66,2895,3531,137,10,308,10,18,6,51.7,81.99,34,1053,25,831,4.74,33.24,3,0
43,8caf9750,AE Smith,female,South Africa,3,1,45,30,45,0,3,1,0,0,45.0,150.0,3,108,4,48,2.67,12.0,2,0
44,ecf35d58,AG Baldie,female,Scotland,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,36,0,24,4.0,0.0,0,0
45,87e5a75b,AGC Vimukthi,female,Sri Lanka,5,3,9,33,4,1,0,0,0,0,4.5,27.27,5,180,4,171,5.7,42.75,3,0
