match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1144158,2,Pakistan,male,317,6,300,32,2,12,6.34
1144158,9,South Africa,male,187,2,198,18,3,6,5.67
1144159,9,South Africa,male,164,10,246,16,1,6,4.0
1144159,2,Pakistan,male,168,2,189,16,1,8,5.33
1144160,2,Pakistan,male,240,8,300,22,2,8,4.8
1144160,9,South Africa,male,241,3,240,19,7,10,6.03
1144167,11,Sri Lanka,male,231,10,282,23,3,7,4.91
1144167,9,South Africa,male,232,2,233,28,1,6,5.97
1144168,9,South Africa,male,251,10,271,33,1,7,5.56
1144168,11,Sri Lanka,male,138,10,194,10,2,14,4.27
1144169,9,South Africa,male,331,5,300,36,4,10,6.62
1144169,11,Sri Lanka,male,121,5,144,11,2,10,5.04
1144170,11,Sri Lanka,male,189,10,236,18,4,14,4.81
1144170,9,South Africa,male,190,4,197,20,3,3,5.79
1144171,11,Sri Lanka,male,225,10,297,20,1,23,4.55
1144171,9,South Africa,male,135,2,168,11,0,10,4.82
1144435,16,South Africa,female,270,9,300,37,4,14,5.4
1144435,15,Bangladesh,female,164,10,297,15,0,19,3.31
1144436,15,Bangladesh,female,89,10,239,12,0,8,2.23
1144436,16,South Africa,female,90,1,103,11,0,8,5.24
1144437,15,Bangladesh,female,71,10,221,4,0,5,1.93
1144437,16,South Africa,female,72,1,86,7,1,1,5.02
1144438,16,South Africa,female,230,7,300,21,2,2,4.6
1144438,15,Bangladesh,female,76,10,200,3,0,13,2.28
1144439,15,Bangladesh,female,166,9,300,12,1,14,3.32
1144439,16,South Africa,female,169,4,210,17,1,8,4.83
1144483,10,England,male,311,8,300,29,3,10,6.22
1144483,9,South Africa,male,207,10,239,21,4,10,5.2
1144484,2,Pakistan,male,105,10,130,9,3,4,4.85
1144484,13,West Indies,male,108,3,82,11,5,6,7.9
1144485,11,Sri Lanka,male,136,10,176,11,2,11,4.64
1144485,3,New Zealand,male,137,0,97,14,3,6,8.47
1144487,8,Bangladesh,male,330,6,300,37,3,21,6.6
1144487,9,South Africa,male,309,8,300,23,3,14,6.18
1144488,2,Pakistan,male,348,8,300,30,6,20,6.96
1144488,10,England,male,334,9,300,31,5,8,6.68
1144490,9,South Africa,male,227,9,300,13,3,10,4.54
1144490,7,India,male,230,4,285,22,2,7,4.84
1144491,8,Bangladesh,male,244,10,296,21,1,18,4.95
1144491,3,New Zealand,male,248,8,283,24,3,10,5.26
1144492,1,Australia,male,288,10,294,29,4,27,5.88
1144492,13,West Indies,male,273,9,300,33,4,20,5.46
1144494,10,England,male,386,6,300,29,14,11,7.72
1144494,8,Bangladesh,male,280,10,293,22,2,19,5.73
1144496,7,India,male,352,5,300,31,8,10,7.04
1144496,1,Australia,male,316,10,300,28,4,14,6.32
1144497,9,South Africa,male,29,2,45,3,0,1,3.87
1144499,1,Australia,male,307,10,294,27,6,19,6.27
1144499,2,Pakistan,male,266,10,274,23,7,14,5.82
1144501,13,West Indies,male,212,10,268,14,6,17,4.75
1144501,10,England,male,213,2,199,24,0,18,6.42
1144502,1,Australia,male,334,7,300,30,7,14,6.68
1144502,11,Sri Lanka,male,247,10,275,20,4,8,5.39
1144504,7,India,male,336,5,300,28,6,11,6.72
1144504,2,Pakistan,male,212,6,240,18,3,8,5.3
1144505,13,West Indies,male,321,8,300,20,11,22,6.42
1144505,8,Bangladesh,male,322,3,249,32,6,26,7.76
1144507,9,South Africa,male,241,6,294,18,4,11,4.92
1144507,3,New Zealand,male,245,6,291,24,3,8,5.05
1144508,1,Australia,male,381,5,300,34,10,12,7.62
1144508,8,Bangladesh,male,333,8,300,30,4,17,6.66
1144509,11,Sri Lanka,male,232,9,300,15,3,10,4.64
1144509,10,England,male,212,10,282,15,5,6,4.51
1144511,3,New Zealand,male,291,8,300,24,4,8,5.82
1144511,13,West Indies,male,286,10,294,27,13,12,5.84
1144512,2,Pakistan,male,308,7,301,31,5,12,6.14
1144512,9,South Africa,male,259,9,300,19,4,6,5.18
1144514,1,Australia,male,285,7,300,30,3,8,5.7
1144514,10,England,male,221,10,268,24,3,9,4.95
1144515,3,New Zealand,male,237,6,300,18,4,9,4.74
1144515,2,Pakistan,male,241,4,295,27,2,7,4.9
1144516,7,India,male,268,7,300,27,3,7,5.36
1144516,13,West Indies,male,143,10,206,12,1,18,4.17
1144517,11,Sri Lanka,male,203,10,297,16,1,20,4.1
1144517,9,South Africa,male,206,1,224,18,1,15,5.52
1144519,1,Australia,male,243,9,300,24,0,10,4.86
1144519,3,New Zealand,male,157,10,262,9,2,17,3.6
1144520,10,England,male,337,7,300,27,13,8,6.74
1144520,7,India,male,306,5,300,35,1,7,6.12
1144521,11,Sri Lanka,male,338,6,300,32,3,19,6.76
1144521,13,West Indies,male,315,9,300,28,7,27,6.3
1144522,7,India,male,314,9,300,27,7,13,6.28
1144522,8,Bangladesh,male,286,10,288,31,2,12,5.96
1144523,10,England,male,305,8,300,32,1,15,6.1
