fold,date,target,raw_probability
2,2017-09-19,0,0.4396547252974326
2,2017-09-21,1,0.7042886256061103
2,2017-09-24,1,0.795432936609124
2,2017-09-24,0,0.6284286340174441
2,2017-09-27,0,0.45936891881699543
2,2017-09-28,1,0.6443180595980875
2,2017-09-29,0,0.45226494001787354
2,2017-10-01,0,0.6563632933039566
2,2017-10-13,1,0.6916754108878697
2,2017-10-15,0,0.3923725354845413
2,2017-10-16,1,0.7255041858357044
2,2017-10-18,1,0.7798113091071228
2,2017-10-18,0,0.6052250326203811
2,2017-10-20,0,0.5844244907240431
2,2017-10-22,1,0.8004158544741113
2,2017-10-22,0,0.8053446442931073
2,2017-10-23,0,0.5820923009118798
2,2017-10-25,0,0.45690543875095757
2,2017-10-29,1,0.7942298605768129
2,2017-12-06,1,0.5708519620863957
2,2017-12-10,0,0.836358260941678
2,2017-12-13,1,0.8379643262509155
2,2017-12-17,0,0.5086162352461367
2,2017-12-20,0,0.47149431956828286
2,2017-12-23,1,0.7214003236082438
2,2017-12-26,1,0.7585023900078601
2,2018-01-06,1,0.610385232691548
2,2018-01-09,0,0.5982930605361875
2,2018-01-11,0,0.4140494304739022
2,2018-01-13,1,0.6514127400480574
2,2018-01-13,1,0.6859948755730636
2,2018-01-14,0,0.7599444121096256
2,2018-01-15,0,0.5205759698906418
2,2018-01-16,0,0.5923777861428934
2,2018-01-16,0,0.40387165826750665
2,2018-01-17,1,0.35824133639889677
2,2018-01-18,1,0.6735918226929383
2,2018-01-19,0,0.7466997705723062
2,2018-01-19,1,0.7116004764774516
2,2018-01-19,1,0.45820245914456287
2,2018-01-21,1,0.6177979912022846
2,2018-01-21,0,0.4178898476741787
2,2018-01-21,1,0.5838658693996589
2,2018-01-23,1,0.7025220468786542
2,2018-01-23,0,0.6333520612315465
2,2018-01-25,0,0.46834051061994997
2,2018-01-26,0,0.6155067789570091
2,2018-01-27,1,0.7756787833638168
2,2018-01-28,1,0.5955804313801174
3,2018-02-01,0,0.5962332640116426
3,2018-02-04,0,0.5918632966452925
3,2018-02-07,1,0.6515076085177153
3,2018-02-10,0,0.7006976495780128
3,2018-02-13,1,0.6613969960552769
3,2018-02-16,0,0.5544767510462347
3,2018-02-25,0,0.5535427242035501
3,2018-02-28,0,0.6212761210076315
3,2018-03-03,1,0.5389022364597608
3,2018-03-04,1,0.5125595131970417
3,2018-03-06,0,0.3587791968935225
3,2018-03-06,1,0.7538536249966641
3,2018-03-06,0,0.5456536993567045
3,2018-03-07,0,0.5657381801049509
3,2018-03-08,0,0.28935855655678505
3,2018-03-10,0,0.5911367081121983
3,2018-03-10,1,0.6875375250969796
3,2018-03-10,1,0.6230932021173984
3,2018-03-12,1,0.693400444431617
3,2018-03-15,1,0.5750360918853334
3,2018-03-16,1,0.5833560454786167
3,2018-03-17,1,0.39482574283207444
3,2018-03-18,1,0.6053907701977459
3,2018-03-19,0,0.43402643441886796
3,2018-03-21,1,0.7547542299926273
3,2018-03-22,1,0.3478046751310244
3,2018-06-13,0,0.6884903791248489
3,2018-06-16,1,0.6206390763929003
3,2018-06-19,1,0.5686790129472014
3,2018-06-21,0,0.6618304070063689
3,2018-06-24,0,0.6367761190909157
3,2018-07-12,0,0.5316300539668871
3,2018-07-13,1,0.7767774092877329
3,2018-07-14,1,0.4908683724554974
3,2018-07-16,0,0.3181917232686402
3,2018-07-17,0,0.6843687556344125
3,2018-07-18,0,0.29817234396664405
3,2018-07-20,1,0.8297317279483966
3,2018-07-22,1,0.8364868734610317
3,2018-07-22,1,0.47639795796251144
3,2018-07-25,1,0.6544337695633344
3,2018-07-28,1,0.45170255434416484
3,2018-07-29,0,0.6437271812632076
3,2018-08-01,0,0.6049132112149799
3,2018-08-05,1,0.6219545530636262
3,2018-08-08,1,0.5446149389729233
3,2018-08-12,1,0.5436079626238622
3,2018-08-30,1,0.5911830265435778
3,2018-09-15,1,0.3928988387218284
3,2018-09-16,0,0.17522621792084295
3,2018-09-18,1,0.9367730934781959
3,2018-09-19,0,0.49653990629789374
3,2018-09-21,0,0.2994628002822083
3,2018-09-23,0,0.483119552020631
3,2018-09-26,1,0.37536142419299956
3,2018-09-28,0,0.2791062697947678
3,2018-09-30,0,0.24786346274946186
3,2018-10-03,1,0.8380194062311996
3,2018-10-06,0,0.24356345669144389
3,2018-10-13,1,0.5942588528946177
3,2018-10-17,0,0.5965715772833501
3,2018-10-20,0,0.5631884253680445
3,2018-10-21,1,0.7571216082673224
3,2018-10-21,0,0.35380776220241644
3,2018-10-23,1,0.5464145451771151
3,2018-10-24,0,0.38423581202882356
3,2018-10-26,0,0.37647436896972486
3,2018-10-27,1,0.33830119645828005
3,2018-10-29,1,0.7993699961618675
3,2018-11-01,0,0.35507286900113133
3,2018-11-04,0,0.6035910929587753
3,2018-11-07,1,0.6245406626203944
3,2018-11-09,1,0.5899883352818749
3,2018-11-09,0,0.6484643400228433
3,2018-11-11,1,0.6045491935734904
3,2018-12-09,1,0.5800540164941033
3,2018-12-11,0,0.6129965508349473
3,2018-12-14,1,0.5591744128614498
3,2019-01-03,1,0.6205576431623165
3,2019-01-05,1,0.6298671763525343
3,2019-01-08,1,0.6516951618131271
3,2019-01-12,1,0.6330060278000498
3,2019-01-15,0,0.6211009848911613
3,2019-01-18,0,0.6455903687209741
3,2019-01-19,0,0.6832846877443395
3,2019-01-22,1,0.6566257512798628
3,2019-01-23,0,0.4657020418186528
3,2019-01-25,1,0.702598694779617
3,2019-01-25,1,0.744752003317033
3,2019-01-26,0,0.4441096124738186
3,2019-01-26,0,0.8058863564730441
3,2019-01-27,0,0.7080832994908082
3,2019-01-28,0,0.41484260451629545
3,2019-01-28,0,0.6333989351391311
3,2019-01-30,1,0.7122939600773673
3,2019-01-31,1,0.436326625509406
3,2019-02-03,0,0.48133904418392015
3,2019-02-13,1,0.6969830946677879
3,2019-02-16,1,0.7270088903193223
3,2019-02-20,1,0.7540422815187482
3,2019-02-20,0,0.40176392643536174
3,2019-02-22,1,0.36233065331139763
3,2019-02-27,0,0.4236622209868048
3,2019-03-02,1,0.41606950912755297
3,2019-03-02,1,0.6601537837151537
3,2019-03-03,1,0.6940520126733059
3,2019-03-05,1,0.7164831879616774
3,2019-03-06,1,0.7332226115976316
3,2019-03-08,0,0.7134720695631889
3,2019-03-10,1,0.7585960078161619
3,2019-03-10,0,0.7058348549132006
3,2019-03-13,1,0.7598656240208685
3,2019-03-13,0,0.6469628750320072
3,2019-03-16,1,0.7761520617923195
3,2019-03-22,1,0.7654032113232306
3,2019-03-24,1,0.7825276035778248
3,2019-03-27,1,0.780438329978286
3,2019-03-29,1,0.7960476985032947
3,2019-03-31,1,0.8140228740831864
3,2019-04-10,1,0.5685175703420113
3,2019-04-12,1,0.6459507910634114
3,2019-04-16,1,0.6960349596642803
3,2019-04-27,1,0.7427175053802991
3,2019-04-27,1,0.4318979709844912
3,2019-05-03,0,0.26727765809968973
3,2019-05-05,0,0.3854465577450272
3,2019-05-07,1,0.4790293477194762
3,2019-05-11,1,0.7491970883169397
3,2019-05-11,0,0.3523411987476776
3,2019-05-13,1,0.4868371418013719
3,2019-05-14,1,0.7380267526058427
3,2019-05-15,0,0.3593866999440339
3,2019-05-17,1,0.7707571777767486
3,2019-05-17,1,0.5479377531088607
3,2019-05-19,1,0.7868290556598151
3,2019-05-21,0,0.2817563179021248
3,2019-05-30,1,0.6265263826051457
3,2019-05-31,0,0.6486630052548503
3,2019-06-01,1,0.6755320772225926
3,2019-06-02,1,0.3570497361020459
3,2019-06-03,0,0.792074167474106
3,2019-06-05,1,0.6466640852901645
3,2019-06-05,0,0.4343237296335329
3,2019-06-06,1,0.8058413468764002
3,2019-06-08,1,0.7423928357752757
3,2019-06-09,0,0.7206269127315417
3,2019-06-12,1,0.8020588696020216
3,2019-06-14,1,0.7813378195908309
3,2019-06-15,1,0.7784431205291029
3,2019-06-16,1,0.7589669820113899
3,2019-06-17,1,0.5562057741813888
3,2019-06-19,1,0.546360520027125
3,2019-06-19,1,0.3343663020690529
3,2019-06-20,1,0.8512578827414914
3,2019-06-21,0,0.6823814524602247
3,2019-06-21,1,0.4614404709188202
3,2019-06-22,1,0.7591748204840768
3,2019-06-23,1,0.5724478691264256
3,2019-06-25,0,0.48761936226122726
3,2019-06-26,0,0.700495656091561
3,2019-06-27,1,0.8473908955927049
3,2019-06-28,1,0.6364183594357968
3,2019-06-29,1,0.7332452856695353
3,2019-06-30,1,0.4837127863872053
3,2019-07-01,1,0.7550059272915148
3,2019-07-01,1,0.45855975921583936
3,2019-07-02,0,0.28511849749169493
3,2019-07-03,1,0.6394137707840458
3,2019-07-04,1,0.4751700630519115
3,2019-07-05,0,0.4078670168270742
3,2019-07-06,1,0.7660814056982674
3,2019-07-06,0,0.7318910886617692
3,2019-07-07,1,0.5508130486373422
3,2019-07-09,0,0.7437518004621856
3,2019-07-11,0,0.707929507413821
3,2019-07-26,1,0.7629575328997981
3,2019-07-28,1,0.8034576549431992
3,2019-07-31,1,0.8250244243667904
3,2019-08-11,0,0.3494069125512742
3,2019-08-14,0,0.3026737977599692
3,2019-08-14,1,0.24339571864310178
3,2019-08-15,0,0.5673754368309085
3,2019-08-17,1,0.5706014664371305
3,2019-08-18,1,0.43688052518867865
3,2019-08-20,1,0.6681507349727975
3,2019-08-21,1,0.6197715957296511
3,2019-09-13,1,0.27458740987127417
3,2019-09-17,1,0.5482815043916824
3,2019-09-19,1,0.5359153882471356
3,2019-09-22,1,0.4357100746179014
3,2019-09-23,1,0.5778210678990653
3,2019-09-30,1,0.6175504495016223
3,2019-10-02,1,0.6577321973361371
3,2019-12-08,0,0.5269619466080795
3,2019-12-09,0,0.5341672750604444
4,2019-12-12,0,0.4032629771406458
4,2019-12-14,1,0.42541625684099127
4,2019-12-15,0,0.8641687851513188
4,2019-12-15,1,0.41712948890220813
4,2019-12-18,1,0.8388108884618742
4,2019-12-22,1,0.8606578877420419
4,2020-01-05,1,0.563544848058118
4,2020-01-06,0,0.564237804342525
4,2020-01-07,1,0.7194103341657812
4,2020-01-08,0,0.6306580772073773
4,2020-01-09,1,0.7756227217332283
4,2020-01-09,0,0.4921790364172864
4,2020-01-12,1,0.7369207095904063
4,2020-01-14,0,0.6437637743796304
4,2020-01-17,1,0.5613402400452283
4,2020-01-19,1,0.5745246218802575
4,2020-02-04,1,0.6043483552372314
4,2020-02-05,1,0.44276338958676126
4,2020-02-05,0,0.4754294041354126
4,2020-02-06,1,0.5622675371219712
4,2020-02-08,1,0.4340866040093046
4,2020-02-08,1,0.4720358734312938
4,2020-02-09,0,0.5470055516842126
4,2020-02-09,0,0.3555988155139221
4,2020-02-11,1,0.44585154213995737
